name,company,city,state,lat,lon,open,close,checked,note,type,capacity,capacity_unit
Jesup,Rayonier Advanced Materials,Jesup,GA,31.66,-81.84,1954,,0,,pulp,,
Fernandina Beach (Rayonier),Rayonier Advanced Materials,Fernandina Beach,FL,30.68,-81.46,1939,,0,,pulp,,
Fernandina Beach (containerboard),Smurfit Westrock,Fernandina Beach,FL,30.66,-81.45,1937,,0,,pulp,,
Palatka,Georgia-Pacific,Palatka,FL,29.68,-81.66,1947,,0,,pulp,,
Pensacola,International Paper,Cantonment,FL,30.61,-87.33,1941,,0,One fluff pulp machine permanently shut in 2023; the mill still runs.,pulp,,
Brunswick,GP Cellulose,Brunswick,GA,31.17,-81.49,1938,,0,,pulp,,
Port Wentworth,Global Cellulose Fibers (ex-IP),Port Wentworth,GA,32.15,-81.16,1951,,0,,pulp,,
Augusta,Graphic Packaging,Augusta,GA,33.36,-81.98,1960,,0,,pulp,,
Rome,International Paper,Rome,GA,34.21,-85.11,1954,,0,,pulp,,
Macon,Graphic Packaging,Macon,GA,32.78,-83.6,1948,,0,,pulp,,
Flint River,Global Cellulose Fibers (ex-IP),Oglethorpe,GA,32.3,-84.07,1980,,0,,pulp,,
Valdosta,Smurfit Westrock,Clyattville,GA,30.68,-83.28,1954,,0,,pulp,,
Pine Hill,International Paper,Pine Hill,AL,31.98,-87.59,1968,,0,,pulp,,
Riverdale,International Paper,Selma,AL,32.38,-87.1,1966,,0,,pulp,,
Prattville,International Paper,Prattville,AL,32.44,-86.43,1967,,0,,pulp,,
Brewton,Georgia-Pacific,Brewton,AL,31.11,-87.06,1957,,0,,pulp,,
Demopolis,Smurfit Westrock,Demopolis,AL,32.5,-87.84,1957,,0,,pulp,,
Mahrt,Smurfit Westrock,Cottonton,AL,32.13,-85.08,1967,,0,,pulp,,
Jackson,Packaging Corp. of America,Jackson,AL,31.51,-87.89,1965,,0,,pulp,,
Coosa Pines,Domtar,Coosa Pines,AL,33.33,-86.35,1950,,0,,pulp,,
Vicksburg,International Paper,Vicksburg,MS,32.44,-90.9,1967,,0,,pulp,,
Columbus,International Paper,Columbus,MS,33.46,-88.43,1967,,0,,pulp,,
Leaf River,Global Cellulose Fibers (ex-IP),New Augusta,MS,31.23,-89.05,1984,,0,,pulp,,
Bogalusa,International Paper,Bogalusa,LA,30.78,-89.85,1918,,0,,pulp,,
Mansfield,International Paper,Mansfield,LA,32.03,-93.7,1981,,0,,pulp,,
Port Hudson,Georgia-Pacific,Zachary,LA,30.65,-91.27,1968,,0,,pulp,,
DeRidder,Packaging Corp. of America,DeRidder,LA,30.85,-93.29,1969,,0,,pulp,,
West Monroe,Graphic Packaging,West Monroe,LA,32.5,-92.14,1929,,0,,pulp,,
Pine Bluff,International Paper,Pine Bluff,AR,34.23,-91.95,1958,,0,,pulp,,
Ashdown,Domtar,Ashdown,AR,33.67,-94.13,1968,,0,,pulp,,
